IMO Number;Name;Total fuel consumption [m tonnes];Total CO₂ emissions [m tonnes];Fuel consumption per distance [kg / n mile];CO₂ emissions per distance [kg CO₂ / n mile];;
8903155;PIETRO MANUNTA;4257.12;13342.41;107.53;337.03;;
8903167;KNUD REEFER;3007.57;9489.8;97.76;308.46;;
8905787;IRINI;867.8;2757.68;82.26;261.41;;
8907204;ARCTIC SPIRIT;2709.72;8589.89;105.43;334.22;;
8907280;FAST FERRIES ANDROS;2987.31;9577.32;163.69;524.78;;
8907424;SEAVENTURE;1623.43;5204.72;109.68;351.65;;
8907577;BR GLORY;397.8;1254.76;55.41;174.78;;
8908545;CARINA;1742.98;5588;44.31;142.05;;
8908583;CSL TRIMNES;3743.12;12000.44;66.62;213.57;;
8908844;KAN 1;928;2934.55;70.15;221.82;;
8909070;BALTIC SPRING;1308.2;4128.82;93.06;293.7;;
8911085;WHITNEY BAY;754.2;2366.15;65.71;206.14;;
8911516;MONTE D'ORO;6053.94;18925.85;122.9;384.2;;
8911736;SC AHTELA;2790.58;8889.98;54.77;174.47;;
8911748;SHIPPER;3902.8;12512.38;49.09;157.38;;
8912120;GREEN COSTA RICA;483.3;1512.83;71.66;224.32;;
8912132;GREEN HONDURAS;850.9;2663.85;66;206.61;;
8912144;GREEN GUATEMALA;2072.1;6482.75;70.61;220.91;;
8912156;GREEN CHILE;709.7;2230.39;69.91;219.72;;
8912297;YEOMAN BONTRUP;7063.53;22075.17;135.05;422.06;;
8912302;YEOMAN BRIDGE;4216.93;13369.8;119.94;380.28;;
8912376;MARIN;2100.71;6600.34;62;194.8;;
8912388;MARFRET NIOLON;2049.96;6416.46;47.91;149.96;;
8913162;AMADEA;1471.54;4717.76;155.88;499.75;;
8913320;MEGAN;860.11;2726.04;53.69;170.16;;
8913411;MSC SANTHYA;8042.09;25496.83;145.94;462.7;;
8913423;MSC SHANNON;9345.64;29491.89;172.52;544.43;;
8913447;MSC ATLANTIC;9257.28;29244.22;143.46;453.19;;
8914312;MEHMET AGA;497.41;1594.7;38.18;122.4;;
8916126;DIAGORAS;5282.19;16559.99;106.96;335.32;;
8916229;FRIO MARATHON;942;2972.28;59.46;187.63;;
8917390;PATRIA SEAWAYS;6330.58;20041.36;90.84;287.59;;
8917601;GABRIELLA;7152;22929.31;140.24;449.59;;
8917613;CROWN SEAWAYS;8454.38;26500.97;154.84;485.34;;
8917883;AKNOUL;2314.6;7304.7;48.37;152.66;;
8917895;MARIN;397.75;1275.19;63.79;204.52;;
8918722;PRINCESS MAYSA;891;2818.49;44.71;141.45;;
8918734;MANISA M;1374.65;4351;52.47;166.07;;
8918954;MSC NEDERLAND;10449.56;33264.12;162;515.69;;
8918966;MSC MANDY;10012.94;31609.78;143.91;454.31;;
8918978;MSC SUEZ;10322.35;32606.72;154.04;486.59;;
8918980;MSC JORDAN;11752.73;37100.39;151.93;479.61;;
8919788;ANNABELLA;300.6;948.92;39.27;123.96;;
8919805;SILJA EUROPA;7462.57;23530.74;339.17;1069.47;;
8919879;AYANA STAR;11;34.66;37.29;117.49;;
8920141;FUJI BAY;1556.1;4881.4;56.58;177.47;;
8920983;AURIGA;581.72;1820.46;46.18;144.52;;
8920995;GREEN CRYSTAL;807.9;2534;48.17;151.1;;
8922163;ASTERION II;19337.51;60261.01;153.08;477.03;;
8933564;VOLZHSKIY 47;86.01;275.75;27.35;87.7;;
8945086;VICTOR MARTYNENKO;73.19;234.65;23.02;73.81;;
8972259;LEONID ZAYAKIN;511.83;1640.92;38.98;124.96;;
8972261;ALEKSANDR ANTONOV;101.24;324.59;40.96;131.33;;
8976671;AQUA JEWEL;2895.65;9183.15;62.34;197.7;;
8986365;GRIGORY MALOV;440.74;1413.01;36.46;116.91;;
8986389;YURIY POLTORATZKIY;431.64;1383.84;34.24;109.77;;
9000302;MY MERAY;670.4;2099.62;64.63;202.41;;
9000443;EKATERINI P.;1990.87;6207.59;75.67;235.95;;
9000742;MSC JENNY;5850.52;18470.52;108.88;343.73;;
9002647;MIMER;637.9;2045.11;36.88;118.24;;
9004487;MILLA;263.08;829.9;40.68;128.33;;
9004499;CINDY;455;1437.39;47.52;150.12;;
9004504;ARIA VIBE;386.23;1217.23;54.51;171.8;;
9005429;NADA;3222.1;10118.76;117.4;368.67;;
9006253;NORMANDIE;14335.4;44711.12;141.33;440.81;;
9007116;TYCHO BRAHE;3143.21;10077.14;82.74;265.27;;
9007128;AURORA AF HELSINGBORG;281.69;903.1;6.78;21.75;;
9007130;BARFLEUR;1059.38;3396.37;Division by zero!;Division by zero!;;
9007295;PRIDE OF CANTERBURY;13525.54;43362.88;228.72;733.29;;
9007489;JORGEN REEFER;2080.3;6532.38;97.18;305.17;;
9007491;CLUB MED 2;1711.55;5487.23;97.09;311.27;;
9007532;JACAMAR ARROW;1659.2;5188.14;90.14;281.87;;
9007544;QUETZAL ARROW;869.3;2741.09;90.7;286;;
9007867;EXCELLENT;1405.17;4385.97;52.7;164.49;;
9007879;TRANS CARRIER;3220.8;10165.85;59.09;186.52;;
9008108;SUNNY GREEN;1507.9;4756.41;153.58;484.43;;
9008574;MSC TASMANIA;847.17;2640.64;132.33;412.47;;
9008598;STAR LEGEND;1155.86;3705.69;88.18;282.71;;
9008603;MSC AMERICA;1852.78;5842.91;110.91;349.76;;
9008706;ARACARI ARROW;901.6;2810.47;82.73;257.89;;
9008732;BALTIC PEARL;1515.8;4764.21;76.32;239.88;;
9010151;EUROFERRY EGNAZIA;11849.34;36997.07;156.04;487.2;;
9010163;FINNPARTNER;13855;43725.53;151.69;478.73;;
9010175;EUROFERRY OLYMPIA;12970;40544.66;148.13;463.07;;
9010814;MAZOVIA;8225.52;26065.93;130.41;413.27;;
9010929;ZIRCONE;2512.14;7826.86;128.15;399.25;;
9011014;LAURANA;3743.48;12001.59;93.12;298.53;;
9013701;GAZ VENEZIA;345.13;1096.61;26.41;83.9;;
9014066;SAGA CREST;2967.7;9361.88;97.98;309.1;;
9014078;SAGA SPRAY;3585.9;11319.78;81.97;258.77;;
9014444;PRINCE OF SEAS;968.5;3044.03;57.21;179.8;;
9014755;BALTIC WINTER;3394.9;10657.46;92.97;291.85;;
9014767;BALTIC AUTUMN;2595.6;8171.69;85.6;269.5;;
9015187;HELLAS STREAM;4568.9;14231.4;101.85;317.24;;
9015199;NEDERLAND STREAM;2870.13;8983.37;103.24;323.14;;
9015204;BELUGA REEFER;3282.45;10307.12;122.53;384.74;;
9015216;SCHWEIZ STREAM;3586.45;11219.24;94.29;294.95;;
9015266;PRIDE OF KENT;12267.41;39329.32;216.23;693.24;;
9015577;ZEYNEP KIRAN;254.52;795.9;68.5;214.2;;
9015735;MAJESTIC;18742;58408.51;187.28;583.66;;
9015747;SPLENDID;13334;42049.51;208.64;657.96;;
9016674;BALTIC PERFORMER;2158.3;6764.47;70.96;222.39;;
9017769;FINNTRADER;13555;42770.48;148.12;467.38;;
9018646;OURO DO BRASIL;2912.36;9114.33;90.03;281.76;;
9018658;SOL DO BRASIL;2431.54;7605.06;93.67;292.97;;
9019054;DENIA CIUTAT CREATIVA;4096.65;12860.37;112.44;352.97;;
9019066;BENIAMINO CARNEVALE;5823.48;18182.19;101.34;316.41;;
9019078;GALILEUSZ;5060.94;15976.71;85.34;269.41;;
9019080;MARCO POLO;11046;34643.35;97.24;304.96;;
9019640;RUNAWAY BAY;1050.2;3287.39;67.98;212.79;;
9019652;ACONCAGUA BAY;627.1;1970.12;66.23;208.06;;
9020352;INGA A;51.12;160.32;86.66;271.77;;
9021485;ZADAR;3496.77;11210.65;79.49;254.86;;
9030137;ITALIA STREAM;3153.4;9832.97;110.86;345.68;;
9030149;SWEDISH STREAM;1053.1;3318.99;103.98;327.72;;
9031698;DRUJBA;5200.32;16228.83;79.47;248.02;;
9031703;COPERNICUS;5474.91;17317.07;87.89;277.99;;
9031997;LAS PALMAS DE GRAN CANARIA;606.33;1904.89;89.76;282;;
9032496;ALBATROSS;3445.2;10752.25;142.17;443.72;;
9033505;BRAVE LEADER;529.4;1673.52;47.54;150.27;;
9034731;KAPIDAG;525.05;1683.31;49.96;160.18;;
9034743;AYSENAZ;586.7;1880.96;42.92;137.6;;
9034925;RIO BALSAS;0;0;Division by zero!;Division by zero!;;
9035101;MEGA EXPRESS FIVE;14397.1;44985.6;256.49;801.43;;
9035876;BLUE GALAXY;10180.01;31768.3;197.08;615.03;;
9036002;MSC SHAULA;5978.4;18881.85;197.93;625.13;;
9037276;BEATA;178.32;570.2;165.72;529.91;;
9037290;ERNA SU;717.3;2255.87;34.73;109.22;;
9037305;LUCKY;638.21;2021.66;47.7;151.09;;
9038323;AUTUMN STREAM;4314.3;13435.43;95.64;297.84;;
9038488;BALTIC PATRIOT;1832.6;5751.43;71.54;224.51;;
9038907;MSC ROBERTA;13733.28;43460.73;198.78;629.06;;
9039119;KONG HARALD;7189.31;19168.32;81.23;216.58;;
9039250;MSC JOY;5339.07;16928.77;109.24;346.37;;
9039391;JUAN J. SISTER;6419.67;20094.2;139.12;435.46;;
9040429;RICHARD WITH;6342.12;13866.88;73.45;160.6;;
9040895;KIRAN ASYA;528.94;1667.79;127.95;403.43;;
9041772;MARIKANA;736.35;2305.39;49.26;154.24;;
9045089;BLUE OCEAN A;2288.32;7223.37;60.97;192.45;;
9045168;WATER PHOENIX;1591;4982.89;59.78;187.22;;
9045601;MEHMET BEY;474.8;1522.21;40.78;130.74;;
9045651;T-STAR;20.3;65.08;23.64;75.79;;
9045704;CS CIHAN;1416.15;4453.21;34.75;109.26;;
9045728;YEBA;742.21;2347.11;39.35;124.45;;
9045780;GREEN ITALIA;584.4;1838.41;64.94;204.29;;
9045792;GREEN BRAZIL;1588.1;5025.92;69.69;220.55;;
9045924;PACIFIC MERMAID;1991.1;6215.21;73.12;228.24;;
9046356;HAJH AMINA;1274.83;4028.35;40.62;128.36;;
9046368;FREESIA;1000.98;3209.14;39.49;126.6;;
9046502;DOLE AMERICA;9277;29022.8;89.78;280.87;;
9046514;DOLE EUROPA;8618;26953.21;92.12;288.11;;
9046526;DOLE ASIA;9369;29309.85;94.73;296.35;;
9046538;DOLE AFRICA;9470;29618.84;95.36;298.24;;
9047001;SEA BRIDLE;1085.4;3406.62;61.94;194.41;;
9047245;LAGOON PHOENIX;345.3;1084.86;59.6;187.24;;
9047269;CASSIOPEA;1117.2;3506.28;61.4;192.71;;
9047764;BOW FAGUS;1123.96;3560.31;123.23;390.33;;
9048914;NORDLYS;4901.41;11476.6;75.09;175.83;;
9050618;KALLISTE;8313.41;25981.23;153.5;479.71;;
9050814;MARION DUFRESNE;2171.8;6962.79;125.85;403.48;;
9050826;PAGLIA ORBA;8022.57;25084.49;165.49;517.43;;
9051478;MSC JEMIMA;4423.76;13963.32;109.74;346.4;;
9051492;MSC NILGUN;3932.16;12408.93;108.26;341.63;;
9051791;COLD STREAM;1143;3578.13;81.99;256.67;;
9053658;REGAL BAY;1387.4;4347.51;76.36;239.28;;
9053919;URANUS;507.74;1603.59;43.08;136.05;;
9055709;FEGULUS;1251.6;3910.08;80.59;251.75;;
9056583;NORBANK;8212.48;25622.33;133.13;415.36;;
9056595;NORBAY;9476.72;29550.64;137.24;427.95;;
9057123;ORANGE WAVE;2569.9;8076.92;74.17;233.11;;
9057173;MSC AGATA;1252.53;3963.01;119.81;379.08;;
9058995;OSLOFJORD;2552.8;8184.28;97.36;312.15;;
9059107;AF MARINA;4734.85;14789.26;104.61;326.75;;
9059602;ALBEMARLE ISLAND;4835;15098.1;104.1;325.06;;
9059614;BARRINGTON ISLAND;4759;14865.33;101.48;316.98;;
9059626;CHARLES ISLAND;3193;9976.17;91.28;285.2;;
9059638;DUNCAN ISLAND;3480;10877.13;115.2;360.06;;
9059640;HOOD ISLAND;5601;17497.84;104.69;327.06;;
9060637;MSC MARTINA;3493.97;11035.44;126.84;400.63;;
9060649;MSC MONICA;5501.24;17607.03;121.3;388.24;;
9062996;MSC MILA 3;466.94;1476.29;95.2;300.98;;
9064281;GRIT CEMENT II;1211.62;3829.95;34.59;109.34;;
9064748;MSC LARA;1414.39;4466.49;110.26;348.17;;
9064750;MSC ELEONORA;542.05;1715.76;109.04;345.15;;
9064839;RAMI M;313;979.1;54.1;169.22;;
9065405;SCHELDE HIGHWAY;2319.3;7435.68;43.72;140.17;;
9065417;WESER HIGHWAY;2252.3;7220.87;41.25;132.24;;
9067544;MSC MARIA;998.31;3151.96;70.55;222.76;;
9070474;SILVER  GLORY;3833.69;12118.15;82.85;261.88;;
9070632;MARELLA DISCOVERY;4376.2;13812.08;304.18;960.04;;
9072446;MARELLA EXPLORER 2;6575.6;20739.38;331.2;1044.61;;
9072824;AVUNDA REEFER;1298.7;4084.12;59.17;186.07;;
9073385;FRIO SHINANO;773.7;2430.44;76.28;239.62;;
9073402;NOR CAPE;395.6;1237.6;44.51;139.24;;
9074030;NEW COURAGE;177.92;564.16;50.29;159.46;;
9074078;SAGA WIND;2786.6;8795.55;88.86;280.47;;
9075709;HOEGH TRIDENT;1769.98;5555.71;89.31;280.32;;
9075711;HOEGH TROOPER;685.8;2164.83;114.26;360.68;;
9076260;FRIO FORWIN;275.2;858.58;48.22;150.44;;
9077898;WADI ALARISH;1630.7;5115.66;103.45;324.53;;
9077903;WADI SUDR;1134.23;3542.84;114.31;357.07;;
9079119;HARDANGER;3200.05;10010.47;112;350.36;;
9079121;HERANGER;1117.44;3490.72;110.53;345.27;;
9080015;CIUDAD DE MALAGA;361.14;1148.86;117.75;374.59;;
