Name,Country Name,Latitude,Longitude,Layer,Harbor Type
SACKETS HARBOR - United States,United States,43.95,-76.1166666666667,PORT - Very Small,Coastal Natural
OSWEGO - United States,United States,43.4666666666667,-76.5166666666667,PORT - Small,River Natural
SODUS BAY - United States,United States,43.2666666666667,-76.9833333333333,PORT - Very Small,Coastal Natural
ROCHESTER - United States,United States,43.2666666666667,-77.6,PORT - Small,River Natural
YOUNGSTOWN - United States,United States,43.25,-79.05,PORT - Very Small,River Natural
PORT COLBORNE - Canada,Canada,42.8833333333333,-79.25,PORT - Small,Lake or Canal
PORT MAITLAND - Canada,Canada,42.85,-79.5833333333333,PORT - Small,River Basin
PORT DOVER - Canada,Canada,42.7833333333333,-80.2,PORT - Very Small,River Natural
PORT STANLEY - Canada,Canada,42.6666666666667,-81.2,PORT - Very Small,River Natural
RONDEAU - Canada,Canada,42.2666666666667,-81.9,PORT - Small,Coastal Natural
PELEE I NORTH WHARF - Canada,Canada,41.8166666666667,-82.6666666666667,PORT - Very Small,Coastal Natural
PELEE I WEST DOCK - Canada,Canada,41.7666666666667,-82.6833333333333,PORT - Very Small,Open Roadstead
LEAMINGTON - Canada,Canada,42.0333333333333,-82.6,PORT - Very Small,Open Roadstead
KINGSVILLE - Canada,Canada,42.0166666666667,-82.7333333333333,PORT - Very Small,Coastal Breakwater
AMHERSTBURG - Canada,Canada,42.1,-83.1,PORT - Small,River Natural
WINDSOR - Canada,Canada,42.3166666666667,-83.0333333333333,PORT - Medium,River Natural
TONAWANDA - United States,United States,43.0333333333333,-78.8833333333333,PORT - Small,River Natural
BUFFALO - United States,United States,42.8833333333333,-78.8833333333333,PORT - Large,Coastal Breakwater
DUNKIRK - United States,United States,42.4833333333333,-79.3333333333333,PORT - Very Small,Coastal Breakwater
ERIE - United States,United States,42.15,-80.1,PORT - Small,Coastal Natural
CONNEAUT - United States,United States,41.9666666666667,-80.55,PORT - Small,River Natural
ASHTABULA - United States,United States,41.9,-80.8,PORT - Small,River Basin
FAIRPORT - United States,United States,41.7666666666667,-81.3,PORT - Small,River Natural
CLEVELAND - United States,United States,41.5,-81.7166666666667,PORT - Large,Coastal Breakwater
LORAIN - United States,United States,41.4666666666667,-82.1833333333333,PORT - Small,River Natural
VERMILION - United States,United States,41.4333333333333,-82.3666666666667,PORT - Very Small,River Natural
HURON - United States,United States,41.4,-82.55,PORT - Small,River Natural
SANDUSKY - United States,United States,41.45,-82.7166666666667,PORT - Small,Coastal Natural
PORT CLINTON - United States,United States,41.5166666666667,-82.9333333333333,PORT - Very Small,River Natural
PUT IN BAY - United States,United States,41.65,-82.8166666666667,PORT - Very Small,Coastal Natural
TOLEDO - United States,United States,41.7,-83.4666666666667,PORT - Medium,River Natural
MONROE - United States,United States,41.8833333333333,-83.3333333333333,PORT - Very Small,River Natural
TRENTON - United States,United States,42.1333333333333,-83.1666666666667,PORT - Very Small,River Natural
WYANDOTTE - United States,United States,42.2,-83.15,PORT - Small,River Natural
ROUGE RIVER - United States,United States,42.2833333333333,-83.1166666666667,PORT - Small,River Natural
DETROIT - United States,United States,42.3333333333333,-83.0333333333333,PORT - Large,River Natural
