MMSI,Temps de reception,RepeatIndicator,Validité,Sog,Cog,Longitude,Latitude
227980000,60,0,True,0,346.7,-0.25182,49.271631666666664
319838000,35,0,True,0,221,-81.11316666666667,32.09583333333333
232008913,34,0,True,0,306.8,-1.2920766666666668,50.75792333333333
353093000,30,0,True,0.1,344.4,-89.99834333333334,29.831408333333332
235095634,34,0,True,0,360,-0.22944166666666668,50.83039833333333
367473520,35,0,True,5.9,12.7,-76.32778833333333,39.135459999999995
304853000,34,0,True,9.6,357,-9.359,37.792
224044370,33,0,True,2.7,195.9,-0.5713266666666666,38.064985
235097474,35,0,True,0,251.4,-2.0837333333333334,57.13979833333334
367349170,60,0,True,0,224.2,-74.00654,40.688138333333335
367544960,34,0,True,0,232.6,-74.12125333333333,40.645491666666665
367010390,35,0,True,0,294.8,-74.15156166666667,40.69957333333333
244790523,33,0,True,0.2,107.1,-1.2087333333333334,54.774033333333335
371413000,35,0,True,0.1,56.9,-79.8839,9.371649999999999
224033380,35,0,True,2,226.6,-1.9875233333333333,43.406415
366946840,34,0,True,0,6.4,-74.247315,40.518145
232004057,35,0,True,0,23.2,-5.547531666666667,50.104238333333335
232029748,34,0,True,0,270.3,-1.2301666666666666,54.58566
701006331,34,1,True,6.8,290.3,-58.600993333333335,-34.27315
235018213,10,0,True,0.3,44.5,-2.088833333333333,57.142498333333336
224042160,35,0,True,4.5,81,-2.428703333333333,43.37751
209832000,36,0,True,0,26.7,-16.183421666666668,28.501568333333335
247325100,32,0,True,0.1,232.5,-15.411833333333334,28.150766666666666
228392900,34,0,True,0,85.3,-3.820535,43.404734999999995
224161170,33,0,True,0,137,-0.317,39.4425
224004800,36,0,True,0.1,127.1,-2.197791666666667,43.304923333333335
225996355,35,0,True,0,360,-3.0167133333333336,43.32160666666667
271046486,30,0,True,13.1,336.8,-1.0334433333333333,45.56148833333334
636021642,11,0,True,0,131.8,-76.33110833333333,36.88001166666666
367416890,36,0,True,0,22.1,-76.55622333333334,39.26104833333333
235032573,63,0,True,0,242.7,-0.06983166666666667,53.58334
538004355,60,1,True,11,291.2,-58.591301666666666,-34.278985
339192000,34,0,True,0,309,-77.31331833333334,25.075336666666665
224101930,35,0,True,0,360,-15.417458333333334,28.143134999999997
311000576,33,0,True,0,74.3,-1.4724833333333334,45.60006166666667
232022727,60,0,True,0.2,29.7,-4.745653333333333,55.94617
225988667,35,0,True,3.4,237.6,-2.0357016666666667,43.36694833333333
305707000,35,0,True,0,277.6,-0.26270333333333334,53.739205
235072882,36,0,True,0,360,-5.5475650000000005,50.10389833333333
368206230,36,0,True,0,157.8,-77.31969166666666,25.082588333333334
730151022,36,0,True,0,146.3,-75.52370833333333,10.37544
730153720,35,0,True,0,360,-75.546295,10.412676666666666
235074754,34,0,True,3.1,155.6,-3.002385,53.39062666666667
232014923,36,0,True,0,360,-3.22195,55.98538333333333
263441683,35,0,True,0,322.8,-8.699366666666666,41.18664833333333
232021063,34,0,True,0.1,108.4,-1.773885,57.50349333333334
