MMSI,Temps de reception,Sog,Cog,Longitude,Latitude,NavigationalStatus
257097500,2023-03-24 08:12:27.593409+00:00,0,3.7,5.576528333333333,58.93181666666667,0
257138000,2023-03-24 08:12:27.619148+00:00,0,359,6.120625,62.46577333333333,0
257062150,2023-03-24 08:12:27.619360+00:00,1.6,55.4,15.148758333333335,69.31038666666667,7
257197500,2023-03-24 08:12:27.619902+00:00,0,290,13.233456666666665,66.80177333333333,0
314019000,2023-03-24 08:12:27.620488+00:00,10.4,221.1,6.184988333333334,62.560388333333336,0
257003080,2023-03-24 08:12:27.620989+00:00,0,360,6.154905,62.473553333333335,5
257543500,2023-03-24 08:12:27.621875+00:00,0,258.5,13.07519,67.93824666666667,0
257044620,2023-03-24 08:12:27.622094+00:00,9.5,358.7,9.684805,63.668686666666666,0
259641000,2023-03-24 08:12:27.623254+00:00,0,322.1,11.249893333333334,64.91739333333334,7
257952000,2023-03-24 08:12:27.623785+00:00,0,89.2,5.599491666666666,58.924503333333334,5
259225000,2023-03-24 08:12:27.624463+00:00,9.9,208.2,23.704708333333333,70.89672999999999,0
257663800,2023-03-24 08:12:27.625888+00:00,0,45.1,9.474485,63.568916666666674,0
257109500,2023-03-24 08:12:27.626419+00:00,0,0,5.440895,59.232081666666666,1
257015600,2023-03-24 08:12:27.627039+00:00,0,360,5.028136666666667,61.600919999999995,5
257642000,2023-03-24 08:12:27.627297+00:00,11.2,178.4,5.493498333333333,61.070725,0
257000020,2023-03-24 08:12:27.628177+00:00,0,360,5.418328333333333,59.05888,0
212654000,2023-03-24 08:12:27.629041+00:00,12,228.2,13.974196666666668,69.51438499999999,0
636092311,2023-03-24 08:12:27.629716+00:00,12.9,287.3,13.328071666666666,36.81506666666667,0
226008460,2023-03-24 08:12:27.630307+00:00,0,0,2.6524750000000004,48.869935000000005,15
211459940,2023-03-24 08:12:27.631100+00:00,5.4,138.4,6.731511666666666,51.420386666666666,0
232008947,2023-03-24 08:12:27.644897+00:00,0,70,4.266381666666667,52.101255,15
249708000,2023-03-24 08:12:27.649189+00:00,0,14.6,-0.3287583333333333,39.45928833333333,5
244070217,2023-03-24 08:12:27.654260+00:00,0,360,4.890601666666667,52.385729999999995,15
310829000,2023-03-24 08:12:27.678201+00:00,0,263.6,-79.52023666666668,8.912835,5
368152640,2023-03-24 08:12:27.681598+00:00,0,360,-82.42389499999999,27.92515,15
244690552,2023-03-24 08:12:27.683925+00:00,6.5,282.6,4.483088333333333,51.90317166666667,0
261492000,2023-03-24 08:12:27.709691+00:00,0,12.2,18.665513333333333,54.408471666666664,0
235053647,2023-03-24 08:12:27.710803+00:00,4.3,104.3,0.15948333333333334,51.507616666666664,0
244009308,2023-03-24 08:12:27.712777+00:00,0,360,5.3091,52.232193333333335,5
244890451,2023-03-24 08:12:27.713665+00:00,0,360,4.624916666666667,51.87534333333333,5
211626350,2023-03-24 08:12:27.714397+00:00,5.5,32.5,9.904783333333334,53.54033666666667,0
261182740,2023-03-24 08:12:27.715079+00:00,0,166.9,12.563231666666667,52.42449166666667,5
466559550,2023-03-24 08:12:27.716195+00:00,0,360,9.828516666666667,44.09693333333333,5
205354790,2023-03-24 08:12:27.716645+00:00,9.7,292.8,7.14868,50.71673666666666,0
244670388,2023-03-24 08:12:27.718896+00:00,6,142.1,6.020488333333334,51.897360000000006,0
244630372,2023-03-24 08:12:27.720299+00:00,0,360,4.388213333333334,51.904250000000005,0
244005846,2023-03-24 08:12:27.721132+00:00,0,360,5.431920000000001,53.174495,0
232004784,2023-03-24 08:12:27.721414+00:00,7.7,120.9,-0.08976999999999999,53.611419999999995,0
247326220,2023-03-24 08:12:27.747063+00:00,0,190.5,9.858976666666667,44.09681,5
244750188,2023-03-24 08:12:27.749681+00:00,0,330,4.787653333333334,52.40217333333333,0
314036000,2023-03-24 08:12:27.751037+00:00,9.1,146.7,3.36985,51.605426666666666,0
511100460,2023-03-24 08:12:27.751543+00:00,0,360,29.10503333333333,36.623133333333335,0
245073000,2023-03-24 08:12:27.753352+00:00,0,15.8,1.0155933333333333,49.41,5
246096000,2023-03-24 08:12:27.754258+00:00,0,249.5,4.259826666666666,52.097925000000004,5
244615899,2023-03-24 08:12:27.754644+00:00,5.7,238.1,8.427726666666667,49.2554,0
244780527,2023-03-24 08:12:27.816762+00:00,0,0,5.910830000000001,52.56440833333333,15
235010460,2023-03-24 08:12:27.819674+00:00,0,228,-4.402383333333333,55.894149999999996,5
220141000,2023-03-24 08:12:27.821394+00:00,0,268.4,10.595519999999999,57.71837666666667,0
538010307,2023-03-24 08:12:27.823068+00:00,14.2,73.6,23.65786166666667,59.57936333333334,0
347001900,2023-03-24 08:12:27.824512+00:00,0,209,-61.058495,14.601856666666666,0
244710429,2023-03-24 08:12:27.826022+00:00,102.3,360,4.429718333333333,51.89865666666667,5
538010364,2023-03-24 08:12:27.827223+00:00,13.9,81.7,-4.681008333333334,36.065810000000006,0
244190323,2023-03-24 08:12:27.828494+00:00,0,360,4.2874316666666665,51.88420333333333,5
244750043,2023-03-24 08:12:27.853667+00:00,0,290.1,4.435833333333333,51.88073833333333,0
244153545,2023-03-24 08:12:27.857454+00:00,0,360,4.1299866666666665,51.82717666666667,5
211516140,2023-03-24 08:12:27.860854+00:00,12.7,350.2,8.387016666666666,49.21331,0
244615227,2023-03-24 08:12:27.861150+00:00,0,360,4.805906666666667,52.417278333333336,15
244750451,2023-03-24 08:12:27.861675+00:00,0,360,4.4340166666666665,51.88389333333334,15
228301000,2023-03-24 08:12:27.862800+00:00,0.1,317.6,-1.0300733333333334,45.618516666666665,3
255806313,2023-03-24 08:12:27.864905+00:00,0,48.7,-8.710633333333334,42.24605833333333,0
319026100,2023-03-24 08:12:27.904048+00:00,0,182.4,8.93202,44.39427166666667,5
244717092,2023-03-24 08:12:27.905436+00:00,4.4,341.1,4.911978333333334,52.34892166666667,0
244013482,2023-03-24 08:12:27.906327+00:00,0.1,311.6,3.6872033333333336,51.61718333333333,0
211589840,2023-03-24 08:12:27.909159+00:00,10.6,343.2,6.687091666666666,51.56806666666667,5
261183730,2023-03-24 08:12:27.913715+00:00,0,360,14.616021666666667,53.39180666666667,0
244110640,2023-03-24 08:12:27.936241+00:00,14.7,300.4,4.1846483333333335,51.94468166666666,8
224133860,2023-03-24 08:12:27.939454+00:00,2.1,77.6,-4.831456666666667,36.377359999999996,15
265507020,2023-03-24 08:12:27.957323+00:00,0,314.7,15.568716666666667,56.16296666666666,0
235032574,2023-03-24 08:12:27.958256+00:00,0,119.4,-0.06986666666666667,53.583333333333336,0
245023000,2023-03-24 08:12:27.960214+00:00,0,246.8,5.205696666666666,53.022115,0
235069624,2023-03-24 08:12:27.960743+00:00,5.3,4.2,7.147708333333333,53.64812333333334,0
205522890,2023-03-24 08:12:28.002206+00:00,0,360,4.354618333333334,51.26210666666667,5
248037000,2023-03-24 08:12:28.002905+00:00,0,266,4.366716666666666,51.255700000000004,5
304031000,2023-03-24 08:12:28.003726+00:00,0,360,4.377023333333333,51.28190333333334,5
224004350,2023-03-24 08:12:28.008986+00:00,0,0,-15.425191666666667,28.138293333333333,0
376371000,2023-03-24 08:12:28.010139+00:00,0,9.4,18.441436666666668,-33.91792,5
265568520,2023-03-24 08:12:28.010452+00:00,0,171.6,18.369078333333334,59.40259666666667,15
265745880,2023-03-24 08:12:28.011268+00:00,0,360,18.04751333333333,59.326395000000005,8
263701950,2023-03-24 08:12:28.047422+00:00,0,333.2,-8.88927,38.520406666666666,0
304214000,2023-03-24 08:12:28.048086+00:00,0.3,147.4,-8.910323333333334,42.372233333333334,1
232002651,2023-03-24 08:12:28.049053+00:00,0,338.8,-4.184088333333333,50.38387,0
244870461,2023-03-24 08:12:28.051650+00:00,0,197.8,6.97843,50.978343333333335,5
538002844,2023-03-24 08:12:28.080652+00:00,10.1,283.4,11.6106,57.54508833333333,0
227135523,2023-03-24 08:12:28.083740+00:00,0,360,0.50414,49.487473333333334,0
257094310,2023-03-24 08:12:28.084620+00:00,7.4,297.8,7.689633333333333,63.11187333333333,0
248871000,2023-03-24 08:12:28.089000+00:00,0,197.4,7.284221666666666,43.69730833333333,5
235083747,2023-03-24 08:12:28.089659+00:00,0,236.1,5.461943333333334,52.554163333333335,0
273217800,2023-03-24 08:12:28.090142+00:00,0,360,33.01677166666666,68.928275,0
230356000,2023-03-24 08:12:28.118969+00:00,0,293,21.5715,63.08116666666667,5
211183340,2023-03-24 08:12:28.120240+00:00,0,360,8.73419,50.109875,5
244236663,2023-03-24 08:12:28.124231+00:00,0,360,4.916113333333333,52.33499833333334,0
246505000,2023-03-24 08:12:28.125392+00:00,0,20.5,4.785641666666667,52.95080666666667,5
566305000,2023-03-24 08:12:28.126200+00:00,8.1,256,-3.2559833333333335,49.9197,0
