;;Totals;;;;;;;;;;;Average energy efficiency;;;;;;;;;;;;Distance and time;;;Average energy efficiency on Laden Voyages;;;;;;;;;;;;Additional voluntary reporting;
IMO Number;Name;Total fuel consumption [m tonnes];Fuel consumptions assigned to On laden [m tonnes];Total CO₂ emissions [m tonnes];CO₂ emissions from all voyages between ports under a MS jurisdiction [m tonnes];CO₂ emissions from all voyages which departed from ports under a MS jurisdiction [m tonnes];CO₂ emissions from all voyages to ports under a MS jurisdiction [m tonnes];CO₂ emissions which occurred within ports under a MS jurisdiction at berth [m tonnes];CO₂ emissions assigned to Passenger transport [m tonnes];CO₂ emissions assigned to Freight transport [m tonnes];CO₂ emissions assigned to On laden [m tonnes];Annual Total time spent at sea [hours];Annual average Fuel consumption per distance [kg / n mile];Annual average Fuel consumption per transport work (mass) [g / m tonnes · n miles];Annual average Fuel consumption per transport work (volume) [g / m³ · n miles];Annual average Fuel consumption per transport work (dwt) [g / dwt carried · n miles];Annual average Fuel consumption per transport work (pax) [g / pax · n miles];Annual average Fuel consumption per transport work (freight) [g / m tonnes · n miles];Annual average CO₂ emissions per distance [kg CO₂ / n mile];Annual average CO₂ emissions per transport work (mass) [g CO₂ / m tonnes · n miles];Annual average CO₂ emissions per transport work (volume) [g CO₂ / m³ · n miles];Annual average CO₂ emissions per transport work (dwt) [g CO₂ / dwt carried · n miles];Annual average CO₂ emissions per transport work (pax) [g CO₂ / pax · n miles];Annual average CO₂ emissions per transport work (freight) [g CO₂ / m tonnes · n miles];Through ice [n miles];Total time spent at sea [hours];Total time spent at sea through ice [hours];Fuel consumption per distance on laden voyages [kg / n mile];Fuel consumption per transport work (mass) on laden voyages [g / m tonnes · n miles];Fuel consumption per transport work (volume) on laden voyages [g / m³ · n miles];Fuel consumption per transport work (dwt) on laden voyages [g / dwt carried · n miles];Fuel consumption per transport work (pax) on laden voyages [g / pax · n miles];Fuel consumption per transport work (freight) on laden voyages [g / m tonnes · n miles];CO₂ emissions per distance on laden voyages [kg CO₂ / n mile];CO₂ emissions per transport work (mass) on laden voyages [g CO₂ / m tonnes · n miles];CO₂ emissions per transport work (volume) on laden voyages [g CO₂ / m³ · n miles];CO₂ emissions per transport work (dwt) on laden voyages [g CO₂ / dwt carried · n miles];CO₂ emissions per transport work (pax) on laden voyages [g CO₂ / pax · n miles];CO₂ emissions per transport work (freight) on laden voyages [g CO₂ / m tonnes · n miles];Additional information to facilitate the understanding of the reported average operational energy efficiency indicators;Average density of the cargo transported [m tonnes / m³]
9321768;METHANE ALISON VICTORIA;5128,24;3579,72;14145,47;0;3880,64;9864,43;400,4;N/A;N/A;9864,43;847,25;358,91;N/A;3,87;N/A;N/A;N/A;990,01;N/A;10,68;N/A;N/A;N/A;N/A;847,25;N/A;355,8;N/A;2,7;N/A;N/A;N/A;980,46;N/A;7,45;N/A;N/A;N/A;;
9321770;METHANE NILE EAGLE;5483,8;4134,36;15132,17;0;3078,03;11415,39;638,75;N/A;N/A;11415,39;1107;331,15;N/A;3,26;N/A;N/A;N/A;913,78;N/A;9;N/A;N/A;N/A;N/A;1107;N/A;333,34;N/A;2,46;N/A;N/A;N/A;920,37;N/A;6,79;N/A;N/A;N/A;;
9321847;ARIES SUN;2796,66;;8739,88;818,4;1538,92;2990,48;3392,08;N/A;N/A;;3602,97;154,8;0,5;N/A;N/A;N/A;N/A;483,76;1,58;N/A;N/A;N/A;N/A;N/A;3602,97;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9321861;GINGA COUGAR;2491,6;;7848,67;2220,63;2573,97;2605,87;448,2;N/A;N/A;;2245,45;99,07;4,44;N/A;N/A;N/A;N/A;312,09;14;N/A;N/A;N/A;N/A;N/A;2245,45;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9321902;NORDSUMMER;4866,75;;15160,27;270,98;10180,67;4474,52;234,1;N/A;N/A;;2860,28;132,34;4,1;N/A;N/A;N/A;N/A;412,23;12,76;N/A;N/A;N/A;N/A;N/A;2860,28;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9321938;STAR EAGLE;3612,9;;11348,45;9414,4;0;1366,9;235,64;N/A;N/A;;3703;101,74;327940,13;N/A;N/A;N/A;N/A;319,57;1030089,94;N/A;N/A;N/A;N/A;N/A;3703;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9321940;STAR KESTREL;757,5;;2379,56;79,51;806,82;1371,07;122,15;N/A;N/A;;820,7;87,26;2,63;N/A;N/A;N/A;N/A;274,11;8,28;N/A;N/A;N/A;N/A;N/A;820,7;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9321976;MITERA MARIGO;4650,8;;14562,15;132,13;9007,18;4764,91;657,93;N/A;N/A;;3465,73;144,14;2,58;N/A;N/A;N/A;N/A;451,33;8,07;N/A;N/A;N/A;N/A;N/A;3465,73;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9322011;VORONEZH;2711,36;;8547,27;1118,71;2762,24;3436,48;1229,84;N/A;N/A;;5547,96;81,16;6,02;N/A;N/A;N/A;N/A;255,85;18,97;N/A;N/A;N/A;N/A;0;5547,96;0;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9322061;SICHEM SINGAPORE;3337,7;;10420,87;6739,82;688,45;1524,47;1468,13;N/A;N/A;;6470,15;65,88;9,02;N/A;N/A;N/A;N/A;205,7;28,17;N/A;N/A;N/A;N/A;N/A;6470,15;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9322097;SICHEM MANILA;2348,11;;7384,99;4937,89;60,78;161,9;2224,44;N/A;N/A;;5451,35;92,13;15,36;N/A;N/A;N/A;N/A;289,77;48,32;N/A;N/A;N/A;N/A;N/A;5451,35;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9322152;TRIPLE A;3069,02;;9737,82;5684,7;93,94;600,17;3359,02;N/A;N/A;;6390,67;87,97;14,24;N/A;N/A;N/A;N/A;279,12;45,18;N/A;N/A;N/A;N/A;N/A;6390,67;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9322267;ELLINIS;7773,94;;24276,85;0;14717,36;8680,08;879,41;N/A;N/A;;3098,4;222,74;0,96;N/A;N/A;N/A;N/A;695,57;3,01;N/A;N/A;N/A;N/A;N/A;3098,4;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9322279;DALMA;9501,5;;29668,21;325,41;20992,21;6596,77;1627,3;N/A;N/A;;3456,3;237,37;0,99;N/A;N/A;N/A;N/A;741,19;3,08;N/A;N/A;N/A;N/A;N/A;3456,3;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9322396;PIGEON POINT;4448,62;;13942,47;1141,94;9492,93;3059,09;248,5;N/A;N/A;;3226,83;109,63;9,13;N/A;N/A;N/A;N/A;343,61;28,63;N/A;N/A;N/A;N/A;N/A;3226,83;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9322425;UN PENDIK;14473,33;;45081,63;1802,38;22363,09;20507,4;408,76;N/A;N/A;;6547,74;116,62;25,97;N/A;N/A;N/A;N/A;363,25;80,9;N/A;N/A;N/A;N/A;N/A;6547,74;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9322437;UN TRIESTE;15588,75;;48554,71;2415,06;23510,3;22251,39;377,95;N/A;N/A;;7113,17;118,31;29;N/A;N/A;N/A;N/A;368,52;90,33;N/A;N/A;N/A;N/A;N/A;7113,17;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9322516;NORO;957;;2988,47;0;1712;985;292;N/A;N/A;;278;211,21;14,6;N/A;N/A;N/A;N/A;659,56;45,6;N/A;N/A;N/A;N/A;N/A;278;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9322542;RANGER;5894;5894;18476,46;17797,2;0,1;0,1;679;N/A;N/A;18476,46;5429,8;83,04;16,16;N/A;N/A;N/A;N/A;260,33;50,65;N/A;N/A;N/A;N/A;;5429,8;;83,04;16,16;N/A;N/A;N/A;N/A;260,33;50,65;N/A;N/A;N/A;N/A;;
9322554;SOLONG;4988;;15728,41;7558;1563;6139;468;N/A;N/A;;5157;70,4;15,94;N/A;N/A;N/A;N/A;221,98;50,27;N/A;N/A;N/A;N/A;;5157;;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9322566;JSP RIDER;3913,5;3913,5;12369,89;11623,1;0;0;746,8;N/A;N/A;12369,9;5195,58;71,14;14,33;N/A;N/A;N/A;N/A;224,87;45,31;N/A;N/A;N/A;N/A;0,3;5195,58;1;73,77;14,33;N/A;N/A;N/A;N/A;233,16;45,31;N/A;N/A;N/A;N/A;;
9322578;DREAM;5602;;17685,46;15721;358;823;781;N/A;N/A;;5524;72,22;16,59;N/A;N/A;N/A;N/A;228;52,39;N/A;N/A;N/A;N/A;;5524;;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;"Port events with reported distances in Jan. 2018 set from ""Port"" to ""Voyage"". Reason: missing ""arrival""-events";
9322657;YUYO;1654,91;;5154,13;6,81;2615,47;2524,63;7,22;N/A;N/A;;1307,2;98,56;8,87;N/A;N/A;N/A;N/A;306,97;27,63;N/A;N/A;N/A;N/A;N/A;1307,2;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9322695;BRO NYBORG;2353,94;;7351,57;5569,55;0;0;1782,03;N/A;N/A;;2947,64;87,84;12,82;N/A;N/A;N/A;N/A;274,34;40,04;N/A;N/A;N/A;N/A;;2947,64;;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9322700;BRO NIBE;2301,16;;7214,96;5076,33;209,76;190,97;1737,88;N/A;N/A;;2897,28;77,38;9,04;N/A;N/A;N/A;N/A;242,61;28,33;N/A;N/A;N/A;N/A;;2897,28;;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9322748;MED ISLAND;500,9;;1563,46;584,29;146,53;742,54;90,09;N/A;N/A;;563,06;61,49;3,23;N/A;N/A;N/A;N/A;191,94;10,09;N/A;N/A;N/A;N/A;N/A;563,06;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9322762;TR CROWN;2206,32;;6905,74;889,12;3178,95;2488,17;349,5;N/A;N/A;;1821,83;103,71;3,14;N/A;N/A;N/A;N/A;324,61;9,83;N/A;N/A;N/A;N/A;N/A;1821,83;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9322774;SPARROW;1412;;4423,65;551;338;3205;331;N/A;N/A;;1319;115,84;3,21;N/A;N/A;N/A;N/A;362,92;10,05;N/A;N/A;N/A;N/A;N/A;1319;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9322803;LNG BORNO;8708,44;;25183,08;0;14628,01;10254,47;300,6;N/A;N/A;;1811,6;282,74;N/A;4,45;N/A;N/A;N/A;817,63;N/A;12,88;N/A;N/A;N/A;N/A;1811,6;N/A;;N/A;;N/A;N/A;N/A;;N/A;;N/A;N/A;N/A;;
9322815;LNG OGUN;9221,34;;26537,79;0;16250,22;9807,41;480,16;N/A;N/A;;3051,97;281,12;N/A;4,43;N/A;N/A;N/A;809,03;N/A;12,75;N/A;N/A;N/A;N/A;3051,97;N/A;;N/A;;N/A;N/A;N/A;;N/A;;N/A;N/A;N/A;;
9322827;MINERVA ANTARCTICA;6375,41;;19949,22;404,3;11088,3;7553,7;903;N/A;N/A;;4288,5;179,29;3,09;N/A;N/A;N/A;N/A;561,02;9,68;N/A;N/A;N/A;N/A;;4288,5;;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9322839;MINERVA ATLANTICA;7540,61;;23623,85;834,6;9159,6;11766,9;1862,9;N/A;N/A;;4899,98;169,14;2,67;N/A;N/A;N/A;N/A;529,91;8,36;N/A;N/A;N/A;N/A;;4899,98;;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9322865;ASIATIC GLORY;430,85;;1344,5;0;744,12;568,39;32;N/A;N/A;;1722,9;65,88;35,49;N/A;N/A;N/A;N/A;205,58;110,76;N/A;N/A;N/A;N/A;N/A;1722,9;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9322944;METEORA;2967,58;;9275,42;1955;3410;2920;991;N/A;N/A;;3032;106,8;8,71;N/A;N/A;N/A;N/A;333,8;27,21;N/A;N/A;N/A;N/A;N/A;3032;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9322956;NS PRIDE;5798,14;;18547,54;2880,36;4682,32;8365,85;2619,02;N/A;N/A;;4788,43;102,53;6,43;N/A;N/A;N/A;N/A;327,97;20,56;N/A;N/A;N/A;N/A;;4788,43;;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9322982;CARIBE ILSE;0;;0;0;0;0;0;N/A;N/A;;0;Division by zero!;Division by zero!;N/A;N/A;N/A;N/A;Division by zero!;Division by zero!;N/A;N/A;N/A;N/A;;0;;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9323039;NORDAUTUMN;7615,25;;23859,58;16303,32;3838,89;3149,95;567,42;N/A;N/A;;5089;140,86;6,59;N/A;N/A;N/A;N/A;441,32;20,65;N/A;N/A;N/A;N/A;N/A;5089;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9323053;AEOLIAN LIGHT;1039,97;;3255,7;0;1476,38;1466,37;312,95;N/A;N/A;;848,53;118,3;3,19;N/A;N/A;N/A;N/A;370,35;9,98;N/A;N/A;N/A;N/A;N/A;848,53;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9323120;ADAMAS;2970,8;;9325,39;0;5724,6;3447,9;152,88;N/A;N/A;;4501;71,41;18,39;N/A;18,39;N/A;N/A;224,16;57,72;N/A;57,72;N/A;N/A;N/A;4501;N/A;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
9323314;ANCE;2813,29;;8898,82;1592,99;4169,82;2556,05;579,97;N/A;N/A;;2454,5;106,13;3,3;N/A;N/A;N/A;N/A;335,71;10,44;N/A;N/A;N/A;N/A;0;2454,5;0;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9323326;JURKALNE;2336,61;;7320,04;0;2675,15;4352,82;292,07;N/A;N/A;;2299,33;97,38;4,73;N/A;N/A;N/A;N/A;305,08;14,82;N/A;N/A;N/A;N/A;0;2299,33;0;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9323340;TARGALE;3480,41;;10996,08;2943,99;1992,99;5153,67;905,43;N/A;N/A;;3801,06;101,66;4,55;N/A;N/A;N/A;N/A;321,2;14,38;N/A;N/A;N/A;N/A;0;3801,06;0;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9323352;UGALE;4347,07;;13725,93;1805,59;5887,48;5234,05;798,81;N/A;N/A;;5019,6;98,74;3,89;N/A;N/A;N/A;N/A;311,76;12,3;N/A;N/A;N/A;N/A;0;5019,6;0;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9323364;USMA;4252,96;;13385,68;3885,25;7548,96;1561,03;390,44;N/A;N/A;;5598,06;102,17;7,99;N/A;N/A;N/A;N/A;321,56;25,15;N/A;N/A;N/A;N/A;0;5598,06;0;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9323376;PILTENE;2916,36;;9206,83;1337,22;3699,94;3711,86;457,82;N/A;N/A;;3050,17;102,2;3,41;N/A;N/A;N/A;N/A;322,65;10,78;N/A;N/A;N/A;N/A;0;3050,17;0;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9323388;UZAVA;3441,7;;10851,95;796,05;6093,26;3621,2;341,44;N/A;N/A;;3962,9;95,1;4,48;N/A;N/A;N/A;N/A;299,85;14,13;N/A;N/A;N/A;N/A;0;3962,9;0;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9323390;SALACGRIVA;4317,48;;13618,35;965,75;7248,27;4759,9;644,43;N/A;N/A;;4931,26;91,91;4,16;N/A;N/A;N/A;N/A;289,9;13,11;N/A;N/A;N/A;N/A;0;4931,26;0;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9323405;AINAZI;1818,77;;5699,58;479,05;2479,89;2508,89;231,76;N/A;N/A;;1834,05;96,25;2,81;N/A;N/A;N/A;N/A;301,61;8,8;N/A;N/A;N/A;N/A;0;1834,05;0;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9323467;JSP ROVER;5765,2;5765,2;18483,23;17974,1;0,1;0,1;509;N/A;N/A;18483,23;6127,67;66,09;23,01;N/A;N/A;N/A;N/A;211,89;73,78;N/A;N/A;N/A;N/A;;6127,67;;66,09;23,01;N/A;N/A;N/A;N/A;211,89;73,78;N/A;N/A;N/A;N/A;;
9323479;SAMSKIP EXPRESS;6351;;20120,27;19332;0;0;789;N/A;N/A;;4795;86,01;14,71;N/A;N/A;N/A;N/A;272,49;46,61;N/A;N/A;N/A;N/A;;4795;;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;Cargo 27.07. corrected to 4419t. Reason: typing mistake;
9323481;HANSA LIMBURG;3173,43;;9906,83;0;4794,51;4281,43;830,9;N/A;N/A;;3554,4;107,73;7,84;N/A;N/A;N/A;N/A;336,3;24,46;N/A;N/A;N/A;N/A;N/A;3554,4;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9323558;KANG HONG;2302,24;;7187,98;87,12;3696,15;3187,98;216,73;N/A;N/A;;1939,33;104,26;2,33;N/A;N/A;N/A;N/A;325,53;7,27;N/A;N/A;N/A;N/A;N/A;1939,33;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9323560;LEON HERMES;3463,07;;10852,13;2321,67;3797,46;3380,97;1352,03;N/A;N/A;;4040,8;228,99;13,13;N/A;N/A;N/A;N/A;717,57;41,14;N/A;N/A;N/A;N/A;N/A;4040,8;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9323584;BRO NAKSKOV;2124,03;;6622,82;4726,08;161,15;349,46;1386,13;N/A;N/A;;2755,89;71,53;8,95;N/A;N/A;N/A;N/A;223,05;27,92;N/A;N/A;N/A;N/A;;2755,89;;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9323637;HORIZON;433,87;433,87;1354,28;369;435;469;81;N/A;N/A;1354,27;654;81,94;6,02;N/A;N/A;N/A;N/A;255,77;18,79;N/A;N/A;N/A;N/A;N/A;654;N/A;112,08;6,02;N/A;N/A;N/A;N/A;349,85;18,79;N/A;N/A;N/A;N/A;;
9323675;GRACE COSMOS;8898,6;4810,8;26110,57;1033,14;13600,25;10576,83;900,34;N/A;N/A;13600,25;1671,36;390,68;N/A;4,9;N/A;N/A;N/A;1146,36;N/A;14,39;N/A;N/A;N/A;N/A;1671,36;N/A;377,17;N/A;2,65;N/A;N/A;N/A;1066,27;N/A;7,49;N/A;N/A;N/A;;
9323687;CLEAN ENERGY;0;;0;0;0;0;0;N/A;N/A;;0;Division by zero!;N/A;Division by zero!;N/A;N/A;N/A;Division by zero!;N/A;Division by zero!;N/A;N/A;N/A;N/A;0;N/A;;N/A;;N/A;N/A;N/A;;N/A;;N/A;N/A;N/A;;
9323699;STENA VINGA;6357;N/A;19865,09;17826,07;0;0;2039;12670,45;7194,65;N/A;4169;98,97;N/A;N/A;N/A;181,29;55,55;309,26;N/A;N/A;N/A;567,46;173,09;N/A;4169;N/A;;N/A;N/A;N/A;;;;N/A;N/A;N/A;;;;
9323780;COLORADO HIGHWAY;1430,4;;4465,67;80,15;3545,94;778,35;61,23;N/A;N/A;;1043,72;92,33;26,29;N/A;;N/A;N/A;288,24;82,08;N/A;;N/A;N/A;N/A;1043,72;N/A;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
9323819;BRO NUUK;2095,07;;6588,86;4222,57;163,17;222,43;1980,67;N/A;N/A;;2678;85,07;10,7;N/A;N/A;N/A;N/A;267,55;33,64;N/A;N/A;N/A;N/A;;2678;;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9323857;BASILUZZO M.;4944,39;;15543,5;10095,83;0;0;5448,99;N/A;N/A;;5734,05;111,21;22,11;N/A;N/A;N/A;N/A;349,61;69,49;N/A;N/A;N/A;N/A;N/A;5734,05;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9323883;PORTAITISSA;1558,63;;4901,6;54,82;1431,45;3118,05;297,29;N/A;N/A;;1269,5;109,87;1,47;N/A;N/A;N/A;N/A;345,52;4,61;N/A;N/A;N/A;N/A;N/A;1269,5;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9323900;ELEOUSSA;1592,63;;5002,61;522,77;1562,28;2641,11;276,45;N/A;N/A;;1881,68;91,03;2,22;N/A;N/A;N/A;N/A;285,94;6,98;N/A;N/A;N/A;N/A;N/A;1881,68;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9323962;ALIAKMON;3301,39;;10360,75;1070,34;5085,69;3696,9;507,83;N/A;N/A;;2263,2;138,32;2,74;N/A;N/A;N/A;N/A;434,08;8,59;N/A;N/A;N/A;N/A;N/A;2263,2;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9323974;LR2 ETERNITY;857,4;857,4;2690,63;0;0;2162,61;528,03;N/A;N/A;2690,64;557,7;130,38;1,46;N/A;N/A;N/A;N/A;409,16;4,57;N/A;N/A;N/A;N/A;N/A;557,7;N/A;130,38;1,46;N/A;N/A;N/A;N/A;409,16;4,57;N/A;N/A;N/A;N/A;;
9323986;MINERVA INDIANA;1901,8;;5963,57;0;2121,3;3266,8;575,5;N/A;N/A;;1620,2;130,54;2,4;N/A;N/A;N/A;N/A;409,33;7,52;N/A;N/A;N/A;N/A;N/A;1620,2;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9324069;IDC FALCON;1582,7;;4980,02;643,83;2100,2;1872,8;363,18;N/A;N/A;;1813,5;95,61;2,59;N/A;N/A;N/A;N/A;300,85;8,16;N/A;N/A;N/A;N/A;N/A;1813,5;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9324148;DALIAN STAR D;1138,29;;3562,08;0;1190,56;2338,75;32,77;N/A;N/A;;1898,77;136,35;3,86;N/A;N/A;N/A;N/A;426,7;12,09;N/A;N/A;N/A;N/A;N/A;1898,77;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9324150;FERONIA;348,21;305,14;1086,07;0;916,76;134,78;34,53;N/A;N/A;951,29;422;89,09;2,34;N/A;N/A;N/A;N/A;277,87;7,28;N/A;N/A;N/A;N/A;N/A;422;N/A;88,91;2,05;N/A;N/A;N/A;N/A;277,18;6,38;N/A;N/A;N/A;N/A;;
9324215;CHEM VENUS;2437;;7673,13;1071,6;2749,43;3038,45;813,67;N/A;N/A;;3612,13;81,43;6,52;N/A;N/A;N/A;N/A;256,4;20,52;N/A;N/A;N/A;N/A;N/A;3612,13;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9324239;PAQUIS;1287,7;;4027,12;0;2188,77;1671,39;166,97;N/A;N/A;;1100,3;116,16;4,04;N/A;N/A;N/A;N/A;363,26;12,62;N/A;N/A;N/A;N/A;N/A;1100,3;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9324289;BW AMAZON;904,7;;2817,61;0;1047,18;1483,62;286,81;N/A;N/A;;1258,7;144,27;2,63;N/A;N/A;N/A;N/A;449,31;8,18;N/A;N/A;N/A;N/A;0;1258,7;0;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9324291;BW COLUMBIA;1719,75;;5367,85;0;715,24;4466,66;185,95;N/A;N/A;;1440,85;119,97;1,95;N/A;N/A;N/A;N/A;374,46;6,08;N/A;N/A;N/A;N/A;N/A;1440,85;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9324306;BW HUDSON;909,9;;2841,13;625,07;2157,39;0;58,67;N/A;N/A;;580,2;134,44;2,33;N/A;N/A;N/A;N/A;419,79;7,27;N/A;N/A;N/A;N/A;N/A;580,2;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9324318;BW LENA;606;;1888,77;0;1595,65;262,02;31,1;N/A;N/A;;487,3;107,24;1,81;N/A;N/A;N/A;N/A;334,24;5,63;N/A;N/A;N/A;N/A;0;487,3;0;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9324320;BW ORINOCO;2882,1;;9045,09;1723;2048,46;4911,35;362,28;N/A;N/A;;4038,7;208,79;3,35;N/A;N/A;N/A;N/A;655,25;10,51;N/A;N/A;N/A;N/A;N/A;4038,7;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9324332;CHEIKH EL MOKRANI;18352,08;9033,98;50645,09;0;25762,4;16469,95;8412,74;N/A;N/A;24882,69;3668,46;488,82;28,6;N/A;N/A;N/A;N/A;1348,96;78,92;N/A;N/A;N/A;N/A;N/A;3668,46;N/A;467,74;14,08;N/A;N/A;N/A;N/A;1288,32;38,78;N/A;N/A;N/A;N/A;;
9324344;CHEIKH BOUAMAMA;13467,49;7730,06;37436,68;0;16113,12;14474,4;6849,16;N/A;N/A;21323,56;3057,83;377,29;23,09;N/A;N/A;N/A;N/A;1048,79;64,18;N/A;N/A;N/A;N/A;N/A;3057,83;N/A;448,7;13,25;N/A;N/A;N/A;N/A;1237,76;36,55;N/A;N/A;N/A;N/A;;
9324435;AL JASSASIYA;17585,01;;50545,41;0;25451,46;24454,41;639,53;N/A;N/A;;4799,48;324,34;N/A;4,68;N/A;N/A;N/A;932,26;N/A;13,44;N/A;N/A;N/A;N/A;4799,48;N/A;;N/A;;N/A;N/A;N/A;;N/A;;N/A;N/A;N/A;;
9324473;PAULINE;10374,23;;32680,51;30124,44;0;0;2556,07;N/A;N/A;;4531,3;174,26;55,15;N/A;N/A;N/A;N/A;548,96;173,73;N/A;N/A;N/A;N/A;N/A;4531,3;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9324617;COURAGEOUS;1454,89;;4559,42;648,7;2724,42;1121,22;65,08;N/A;N/A;;1759,65;80,12;1,85;N/A;N/A;N/A;N/A;251,08;5,8;N/A;N/A;N/A;N/A;N/A;1759,65;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9324629;INTREPID;1204,68;1076,3;3767,65;0;348,75;3356,06;62,84;N/A;N/A;3356,06;1171,7;98,45;2,5;N/A;N/A;N/A;N/A;307,91;7,81;N/A;N/A;N/A;N/A;N/A;1171,7;N/A;98,23;2,23;N/A;N/A;N/A;N/A;306,29;6,96;N/A;N/A;N/A;N/A;;
