;;Totals;;;;;;;;;;;Average energy efficiency;;;;;;;;;;;;Distance and time;;;Average energy efficiency on Laden Voyages;;;;;;;;;;;;Additional voluntary reporting;
IMO Number;Name;Total fuel consumption [m tonnes];Fuel consumptions assigned to On laden [m tonnes];Total CO₂ emissions [m tonnes];CO₂ emissions from all voyages between ports under a MS jurisdiction [m tonnes];CO₂ emissions from all voyages which departed from ports under a MS jurisdiction [m tonnes];CO₂ emissions from all voyages to ports under a MS jurisdiction [m tonnes];CO₂ emissions which occurred within ports under a MS jurisdiction at berth [m tonnes];CO₂ emissions assigned to Passenger transport [m tonnes];CO₂ emissions assigned to Freight transport [m tonnes];CO₂ emissions assigned to On laden [m tonnes];Annual Total time spent at sea [hours];Annual average Fuel consumption per distance [kg / n mile];Annual average Fuel consumption per transport work (mass) [g / m tonnes · n miles];Annual average Fuel consumption per transport work (volume) [g / m³ · n miles];Annual average Fuel consumption per transport work (dwt) [g / dwt carried · n miles];Annual average Fuel consumption per transport work (pax) [g / pax · n miles];Annual average Fuel consumption per transport work (freight) [g / m tonnes · n miles];Annual average CO₂ emissions per distance [kg CO₂ / n mile];Annual average CO₂ emissions per transport work (mass) [g CO₂ / m tonnes · n miles];Annual average CO₂ emissions per transport work (volume) [g CO₂ / m³ · n miles];Annual average CO₂ emissions per transport work (dwt) [g CO₂ / dwt carried · n miles];Annual average CO₂ emissions per transport work (pax) [g CO₂ / pax · n miles];Annual average CO₂ emissions per transport work (freight) [g CO₂ / m tonnes · n miles];Through ice [n miles];Total time spent at sea [hours];Total time spent at sea through ice [hours];Fuel consumption per distance on laden voyages [kg / n mile];Fuel consumption per transport work (mass) on laden voyages [g / m tonnes · n miles];Fuel consumption per transport work (volume) on laden voyages [g / m³ · n miles];Fuel consumption per transport work (dwt) on laden voyages [g / dwt carried · n miles];Fuel consumption per transport work (pax) on laden voyages [g / pax · n miles];Fuel consumption per transport work (freight) on laden voyages [g / m tonnes · n miles];CO₂ emissions per distance on laden voyages [kg CO₂ / n mile];CO₂ emissions per transport work (mass) on laden voyages [g CO₂ / m tonnes · n miles];CO₂ emissions per transport work (volume) on laden voyages [g CO₂ / m³ · n miles];CO₂ emissions per transport work (dwt) on laden voyages [g CO₂ / dwt carried · n miles];CO₂ emissions per transport work (pax) on laden voyages [g CO₂ / pax · n miles];CO₂ emissions per transport work (freight) on laden voyages [g CO₂ / m tonnes · n miles];Additional information to facilitate the understanding of the reported average operational energy efficiency indicators;Average density of the cargo transported [m tonnes / m³]
7218395;BOUDICCA;6988,3;;22151,32;17460,84;1625,32;394;2671,16;N/A;N/A;;4344;160,23;N/A;N/A;N/A;277,04;N/A;507,91;N/A;N/A;N/A;878,14;N/A;N/A;4344;N/A;;N/A;N/A;N/A;;N/A;;N/A;N/A;N/A;;N/A;;
7224459;RIGEL I;1941,03;N/A;6100,37;4976,48;483,72;479,87;160,3;5940,07;5940,07;N/A;808,87;151,88;N/A;N/A;N/A;3,8;5,55;477,34;N/A;N/A;N/A;11,94;17,43;N/A;808,87;N/A;;N/A;N/A;N/A;;;;N/A;N/A;N/A;;;;
7225910;AEGEAN ODYSSEY;4246,5;;13489,68;9922,69;749,51;645,73;2171,74;N/A;N/A;;3320,75;121,08;N/A;N/A;N/A;406,89;N/A;384,63;N/A;N/A;N/A;1292,56;N/A;N/A;3320,75;N/A;;N/A;N/A;N/A;;N/A;;N/A;N/A;N/A;;N/A;;
7226952;FJARDVAGEN;1837,6;;5891,35;5043,9;0;0;847,5;N/A;N/A;;2998,2;45,61;97,87;N/A;N/A;N/A;N/A;146,23;313,77;N/A;N/A;N/A;N/A;;2998,2;;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
7230599;MARKO POLO;3650,44;N/A;11703,31;9803,81;0;0;1899,49;11703,31;11703,31;N/A;2618,75;110,86;N/A;N/A;N/A;1,53;0,73;355,43;N/A;N/A;N/A;4,9;2,35;N/A;2618,75;N/A;;N/A;N/A;N/A;;;;N/A;N/A;N/A;;;;
7304314;ALBATROS;10348,66;;32774,16;24589,09;3531,81;2472,69;2180,59;N/A;N/A;;5433,48;159,04;N/A;N/A;N/A;231,23;N/A;503,68;N/A;N/A;N/A;732,3;N/A;N/A;5433,48;N/A;;N/A;N/A;N/A;;N/A;;N/A;N/A;N/A;;N/A;;
7305253;CORSICA VICTORIA;6467,78;N/A;20397,18;20064,68;0;0;135,95;1615,89;18781,29;N/A;4440,53;99,23;N/A;N/A;N/A;22,72;231,42;312,93;N/A;N/A;N/A;70,95;730,43;N/A;4440,53;N/A;;N/A;N/A;N/A;;;;N/A;N/A;N/A;;;;
7310507;FIDELITY;638,2;;2002,77;0;822,97;1161,53;18,27;N/A;N/A;;871,1;61,04;141,35;N/A;Division by zero!;N/A;N/A;191,54;443,59;N/A;Division by zero!;N/A;N/A;N/A;871,1;N/A;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
7342469;CHL INNOVATOR;3548,6;;11131,25;600,38;4852,87;5340,4;337,59;N/A;N/A;;3061,7;92,12;9,45;N/A;;N/A;N/A;288,96;29,63;N/A;;N/A;N/A;N/A;3061,7;N/A;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
7346221;SUPERFERRY II;7637,98;N/A;23947,48;23947,51;0;0;0;5723,43;18224,06;N/A;2753,5;148,7;N/A;N/A;N/A;1,37;1,14;466,22;N/A;N/A;N/A;4,28;3,56;N/A;2753,5;N/A;;N/A;N/A;N/A;;;;N/A;N/A;N/A;;;;
7347548;PRINCE;2060,69;N/A;6479,57;5593,21;136,77;92,55;657,01;6479,58;6479,58;N/A;1137,98;131,74;N/A;N/A;N/A;435,83;923,57;414,24;N/A;N/A;N/A;1370,42;2904,04;N/A;1137,98;N/A;;N/A;N/A;N/A;;;;N/A;N/A;N/A;;;;
7349039;CORSICA MARINA SECONDA;2270,53;N/A;7191,89;6647,06;0;0;544,83;934,95;6256,94;N/A;1508;110,74;N/A;N/A;N/A;31,91;327,45;350,76;N/A;N/A;N/A;101,09;1037,18;N/A;1508;N/A;;N/A;N/A;N/A;;;;N/A;N/A;N/A;;;;
7350090;MOBY NIKI;2524,64;N/A;7938,41;6804,13;0;0;1134,28;6906,43;1031,98;N/A;2124,86;97,37;N/A;N/A;N/A;825,64;76,83;306,17;N/A;N/A;N/A;2596,13;241,58;N/A;2124,86;N/A;;N/A;N/A;N/A;;;;N/A;N/A;N/A;;;;
7358755;MOBY KISS;3432,32;N/A;10784,38;9506,18;0;0;1278,2;9501,06;1283,32;N/A;2180,87;106,55;N/A;N/A;N/A;307,8;51,52;334,78;N/A;N/A;N/A;967,11;161,86;N/A;2180,87;N/A;;N/A;N/A;N/A;;;;N/A;N/A;N/A;;;;
7359400;SALAMIS FILOXENIA;3229,51;;10170,63;9165,85;140,75;128,56;736,25;N/A;N/A;;2621;115,77;N/A;N/A;N/A;256409,61;N/A;364,6;N/A;N/A;N/A;807505,88;N/A;N/A;2621;N/A;;N/A;N/A;N/A;;N/A;;N/A;N/A;N/A;;N/A;;
7360605;MOBY VINCENT;3117,77;N/A;9800,47;8629,48;0;0;1170,99;9094,83;705,64;N/A;1751,15;111,95;N/A;N/A;N/A;293,69;28,78;351,91;N/A;N/A;N/A;923,19;90,46;N/A;1751,15;N/A;;N/A;N/A;N/A;;;;N/A;N/A;N/A;;;;
7360617;SARDINIA VERA;3371,01;N/A;10668,67;10310,41;0;0;358,26;1386,92;9281,75;N/A;1903,18;123,3;N/A;N/A;N/A;39,76;390,31;390,22;N/A;N/A;N/A;125,84;1235,27;N/A;1903,18;N/A;;N/A;N/A;N/A;;;;N/A;N/A;N/A;;;;
